"CENSUS_YEAR","DGUID","ALT_GEO_CODE","GEO_LEVEL","GEO_NAME","TNR_SF","TNR_LF","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","CHARACTERISTIC_NOTE","C1_COUNT_TOTAL","SYMBOL","C2_COUNT_MEN.","SYMBOL.1","C3_COUNT_WOMEN.","SYMBOL.2","C4_COUNT_LOW_CI_TOTAL","SYMBOL.3","C5_COUNT_LOW_CI_MEN.","SYMBOL.4","C6_COUNT_LOW_CI_WOMEN.","SYMBOL.5","C7_COUNT_HI_CI_TOTAL","SYMBOL.6","C8_COUNT_HI_CI_MEN.","SYMBOL.7","C9_COUNT_HI_CI_WOMEN.","SYMBOL.8","C10_RATE_TOTAL","SYMBOL.9","C11_RATE_MEN.","SYMBOL.10","C12_RATE_WOMEN.","SYMBOL.11","C13_RATE_LOW_CI_TOTAL","SYMBOL.12","C14_RATE_LOW_CI_MEN.","SYMBOL.13","C15_RATE_LOW_CI_WOMEN.","SYMBOL.14","C16_RATE_HI_CI_TOTAL","SYMBOL.15","C17_RATE_HI_CI_MEN.","SYMBOL.16","C18_RATE_HI_CI_WOMEN.","SYMBOL.17"
2021,"2021S051624660001",24660001,"Aggregate dissemination area",24660001,1,1.4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,60400,"",64000,"",56400,"",58801,"",59397,"",54343,"",61999,"",68603,"",58457,"",60400,"",64000,"",56400,"",58801,"",59397,"",54343,"",61999,"",68603,"",58457,""
2021,"2021S051624660002",24660002,"Aggregate dissemination area",24660002,1.1,2.3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,62800,"",68500,"",55200,"",60254,"",65995,"",53082,"",65346,"",71005,"",57318,"",62800,"",68500,"",55200,"",60254,"",65995,"",53082,"",65346,"",71005,"",57318,""
2021,"2021S051624660003",24660003,"Aggregate dissemination area",24660003,1.5,2.1,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,56000,"",57600,"",54800,"",54085,"",54565,"",49871,"",57915,"",60635,"",59729,"",56000,"",57600,"",54800,"",54085,"",54565,"",49871,"",57915,"",60635,"",59729,""
2021,"2021S051624660004",24660004,"Aggregate dissemination area",24660004,1.9,2.7,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54000,"",56800,"",51200,"",52126,"",55048,"",49744,"",55874,"",58552,"",52656,"",54000,"",56800,"",51200,"",52126,"",55048,"",49744,"",55874,"",58552,"",52656,""
2021,"2021S051624660005",24660005,"Aggregate dissemination area",24660005,2.2,2.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,52400,"",54400,"",50000,"",49874,"",49919,"",46171,"",54926,"",58881,"",53829,"",52400,"",54400,"",50000,"",49874,"",49919,"",46171,"",54926,"",58881,"",53829,""
2021,"2021S051624660006",24660006,"Aggregate dissemination area",24660006,1,1.3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,59200,"",60400,"",56800,"",57082,"",57365,"",51993,"",61318,"",63435,"",61607,"",59200,"",60400,"",56800,"",57082,"",57365,"",51993,"",61318,"",63435,"",61607,""
2021,"2021S051624660007",24660007,"Aggregate dissemination area",24660007,1.4,2.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,53200,"",56000,"",48800,"",51469,"",54085,"",45989,"",54931,"",57915,"",51611,"",53200,"",56000,"",48800,"",51469,"",54085,"",45989,"",54931,"",57915,"",51611,""
2021,"2021S051624660008",24660008,"Aggregate dissemination area",24660008,1.4,2.6,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54400,"",57200,"",53200,"",52526,"",53004,"",51122,"",56274,"",61396,"",55278,"",54400,"",57200,"",53200,"",52526,"",53004,"",51122,"",56274,"",61396,"",55278,""
2021,"2021S051624660009",24660009,"Aggregate dissemination area",24660009,1.7,3.1,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,52400,"",58000,"",48000,"",51129,"",54008,"",44211,"",53671,"",61992,"",51789,"",52400,"",58000,"",48000,"",51129,"",54008,"",44211,"",53671,"",61992,"",51789,""
2021,"2021S051624660010",24660010,"Aggregate dissemination area",24660010,2.2,2.8,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,52400,"",54800,"",51200,"",49589,"",49382,"",48348,"",55211,"",60218,"",54052,"",52400,"",54800,"",51200,"",49589,"",49382,"",48348,"",55211,"",60218,"",54052,""
2021,"2021S051624660011",24660011,"Aggregate dissemination area",24660011,1.5,2.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54400,"",62400,"",50400,"",52730,"",59141,"",47548,"",56070,"",65659,"",53252,"",54400,"",62400,"",50400,"",52730,"",59141,"",47548,"",56070,"",65659,"",53252,""
2021,"2021S051624660012",24660012,"Aggregate dissemination area",24660012,1.3,2.3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,51600,"",56400,"",48400,"",49583,"",50982,"",45243,"",53617,"",61818,"",51557,"",51600,"",56400,"",48400,"",49583,"",50982,"",45243,"",53617,"",61818,"",51557,""
2021,"2021S051624660013",24660013,"Aggregate dissemination area",24660013,1.5,1.4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54400,"",54000,"",55200,"",50734,"",49926,"",49334,"",58066,"",58074,"",61066,"",54400,"",54000,"",55200,"",50734,"",49926,"",49334,"",58066,"",58074,"",61066,""
2021,"2021S051624660014",24660014,"Aggregate dissemination area",24660014,1.5,3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,50800,"",53600,"",46400,"",46319,"",47245,"",43813,"",55281,"",59955,"",48987,"",50800,"",53600,"",46400,"",46319,"",47245,"",43813,"",55281,"",59955,"",48987,""
2021,"2021S051624660015",24660015,"Aggregate dissemination area",24660015,1.7,1.8,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,59600,"",60800,"",58400,"",58195,"",57419,"",55813,"",61005,"",64181,"",60987,"",59600,"",60800,"",58400,"",58195,"",57419,"",55813,"",61005,"",64181,"",60987,""
2021,"2021S051624660016",24660016,"Aggregate dissemination area",24660016,3.5,4.4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,51600,"",55600,"",50400,"",48341,"",49693,"",47589,"",54859,"",61507,"",53211,"",51600,"",55600,"",50400,"",48341,"",49693,"",47589,"",54859,"",61507,"",53211,""
2021,"2021S051624660017",24660017,"Aggregate dissemination area",24660017,2.6,2.5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,52400,"",52000,"",54000,"",50689,"",49678,"",51576,"",54111,"",54322,"",56424,"",52400,"",52000,"",54000,"",50689,"",49678,"",51576,"",54111,"",54322,"",56424,""
2021,"2021S051624660018",24660018,"Aggregate dissemination area",24660018,2.4,3.5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,55200,"",56000,"",53200,"",53448,"",53087,"",49534,"",56952,"",58913,"",56866,"",55200,"",56000,"",53200,"",53448,"",53087,"",49534,"",56952,"",58913,"",56866,""
2021,"2021S051624660019",24660019,"Aggregate dissemination area",24660019,2.4,2.7,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54400,"",57200,"",50400,"",51630,"",52474,"",47324,"",57170,"",61926,"",53476,"",54400,"",57200,"",50400,"",51630,"",52474,"",47324,"",57170,"",61926,"",53476,""
2021,"2021S051624660020",24660020,"Aggregate dissemination area",24660020,2.7,3.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,46400,"",47600,"",45600,"",44526,"",43689,"",42585,"",48274,"",51511,"",48615,"",46400,"",47600,"",45600,"",44526,"",43689,"",42585,"",48274,"",51511,"",48615,""
