Level,Code,Name,Scenario,Year,Population
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2021,136216.28519940167
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2022,137716.0019217799
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2023,142820.68881629588
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2024,149339.0368206908
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2025,147704.21048368386
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2026,143527.5577546486
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2027,138166.8534937766
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2028,133509.71719771813
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2029,129698.7048632717
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2030,127338.12494859465
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2031,126081.37523206853
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2032,124990.13479346254
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2033,124061.7167938494
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2034,123288.52131740622
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2035,122689.35623662396
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2036,122198.43238119764
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2037,121693.38342969648
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2038,121173.59524750857
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2039,120639.0678346339
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2040,120082.2012752496
Borough,REM23,Ahuntsic-Cartierville,Faible (D2025),2041,119515.12472794164
Borough,REM09,Anjou,Faible (D2025),2021,43524.27159719311
Borough,REM09,Anjou,Faible (D2025),2022,44003.46597434185
Borough,REM09,Anjou,Faible (D2025),2023,45634.53217534937
Borough,REM09,Anjou,Faible (D2025),2024,47717.295983604745
Borough,REM09,Anjou,Faible (D2025),2025,47194.930941848004
Borough,REM09,Anjou,Faible (D2025),2026,45860.393243366656
Borough,REM09,Anjou,Faible (D2025),2027,44147.52353868433
Borough,REM09,Anjou,Faible (D2025),2028,42659.460164190794
Borough,REM09,Anjou,Faible (D2025),2029,41441.75307680483
Borough,REM09,Anjou,Faible (D2025),2030,40687.492885500375
Borough,REM09,Anjou,Faible (D2025),2031,40285.93211828589
Borough,REM09,Anjou,Faible (D2025),2032,39937.25541521621
Borough,REM09,Anjou,Faible (D2025),2033,39640.6042687565
Borough,REM09,Anjou,Faible (D2025),2034,39393.55032902256
Borough,REM09,Anjou,Faible (D2025),2035,39202.103148758135
Borough,REM09,Anjou,Faible (D2025),2036,39045.241557753514
Borough,REM09,Anjou,Faible (D2025),2037,38883.86666999442
Borough,REM09,Anjou,Faible (D2025),2038,38717.78225518719
Borough,REM09,Anjou,Faible (D2025),2039,38546.98831333181
Borough,REM09,Anjou,Faible (D2025),2040,38369.056494544086
Borough,REM09,Anjou,Faible (D2025),2041,38187.86234712405
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2021,171692.54727618326
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2022,173582.8512430025
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2023,180017.006268474
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2024,188232.99726594472
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2025,186172.3956444571
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2026,180907.97263448912
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2027,174151.1229054272
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2028,168281.07886104475
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2029,163477.52387902315
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2030,160502.15292387924
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2031,158918.09445536995
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2032,157542.65061382944
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2033,156372.43479817055
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2034,155397.86776531822
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2035,154642.6557228825
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2036,154023.87532424362
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2037,153387.29107988943
Borough,REM34,Côte-des-Neiges - Notre-Dame-de-Grâce,Faible (D2025),2038,152732.1289095714
